expense_category,payee_name,payee_clean,total
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace Inc.,SQUARESPACE INC.,SquareSpace Inc.
Media,SquareSpace Inc.,SQUARESPACE INC.,SquareSpace Inc.
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
Media,Squarespace,Squarespace,Squarespace
